atomic_number,symbol,name,name_origin,group,period,block,state_at_stp,occurrence,description,atomic_weight,aw_uncertainty,any_stable_nuclides,density,density_predicted,melting_point,mp_predicted,boiling_point,bp_predicted,heat_capacity,electronegativity,abundance
94,Pu,Plutonium,"Pluto, a dwarf planet in the Solar System",NA,7,f,Solid,Primordial,Actinide,244.0,NA,No,19.84,FALSE,912.5,FALSE,3501.0,FALSE,NA,1.28,3e-11
95,Am,Americium,"The Americas, as the element was first synthesized on the continent, by analogy with europium",NA,7,f,Solid,Synthetic,Actinide,243.0,NA,No,13.69,FALSE,1449.0,FALSE,2880.0,FALSE,NA,1.13,0.0
96,Cm,Curium,"Pierre Curie, a physicist, and Marie Curie, a physicist and chemist, named after great scientists by analogy with gadolinium",NA,7,f,Solid,Synthetic,Actinide,247.0,NA,No,13.51,FALSE,1613.0,FALSE,3383.0,FALSE,NA,1.28,0.0
97,Bk,Berkelium,"Berkeley, California, where the element was first synthesized, by analogy with terbium",NA,7,f,Solid,Synthetic,Actinide,247.0,NA,No,14.79,FALSE,1259.0,FALSE,2900.0,FALSE,NA,1.3,0.0
98,Cf,Californium,"California, where the element was first synthesized",NA,7,f,Solid,Synthetic,Actinide,251.0,NA,No,15.1,FALSE,1173.0,FALSE,1743.0,TRUE,NA,1.3,0.0
99,Es,Einsteinium,"Albert Einstein, physicist",NA,7,f,Solid,Synthetic,Actinide,252.0,NA,No,8.84,FALSE,1133.0,FALSE,1269.0,TRUE,NA,1.3,0.0
100,Fm,Fermium,"Enrico Fermi, physicist",NA,7,f,Solid,Synthetic,Actinide,257.0,NA,No,9.7,TRUE,1125.0,TRUE,NA,FALSE,NA,1.3,0.0
101,Md,Mendelevium,"Dmitri Mendeleev, chemist and inventor",NA,7,f,Solid,Synthetic,Actinide,258.0,NA,No,10.3,TRUE,1100.0,TRUE,NA,FALSE,NA,1.3,0.0
102,No,Nobelium,"Alfred Nobel, chemist, engineer, innovator, and armaments manufacturer",NA,7,f,Solid,Synthetic,Actinide,259.0,NA,No,9.9,TRUE,1100.0,TRUE,NA,FALSE,NA,1.3,0.0
103,Lr,Lawrencium,"Ernest O. Lawrence, physicist",3,7,d,Solid,Synthetic,Actinide,266.0,NA,No,15.6,TRUE,1900.0,TRUE,NA,FALSE,NA,1.3,0.0
104,Rf,Rutherfordium,"Ernest Rutherford, chemist and physicist",4,7,d,NA,Synthetic,Transition metal,267.0,NA,No,23.2,TRUE,2400.0,TRUE,5800.0,TRUE,NA,NA,0.0
105,Db,Dubnium,"Dubna, Russia",5,7,d,NA,Synthetic,Transition metal,268.0,NA,No,29.3,TRUE,NA,FALSE,NA,FALSE,NA,NA,0.0
106,Sg,Seaborgium,"Glenn T. Seaborg, scientist",6,7,d,NA,Synthetic,Transition metal,269.0,NA,No,35.0,TRUE,NA,FALSE,NA,FALSE,NA,NA,0.0
107,Bh,Bohrium,"Niels Bohr, physicist",7,7,d,NA,Synthetic,Transition metal,270.0,NA,No,37.1,TRUE,NA,FALSE,NA,FALSE,NA,NA,0.0
108,Hs,Hassium,"Hesse, Germany, where the element was first synthesized",8,7,d,NA,Synthetic,Transition metal,269.0,NA,No,40.7,TRUE,NA,FALSE,NA,FALSE,NA,NA,0.0
109,Mt,Meitnerium,"Lise Meitner, physicist",9,7,d,NA,Synthetic,NA,278.0,NA,No,37.4,TRUE,NA,FALSE,NA,FALSE,NA,NA,0.0
110,Ds,Darmstadtium,"Darmstadt, Germany, where the element was first synthesized",10,7,d,NA,Synthetic,NA,281.0,NA,No,34.8,TRUE,NA,FALSE,NA,FALSE,NA,NA,0.0
111,Rg,Roentgenium,"Wilhelm Conrad R?_ntgen, physicist",11,7,d,NA,Synthetic,NA,282.0,NA,No,28.7,TRUE,NA,FALSE,NA,FALSE,NA,NA,0.0
112,Cn,Copernicium,"Nicolaus Copernicus, astronomer",12,7,d,NA,Synthetic,Transition metal,285.0,NA,No,23.7,TRUE,NA,FALSE,357.0,TRUE,NA,NA,0.0
113,Nh,Nihonium,IUPAC systematic element name,13,7,p,NA,Synthetic,NA,286.0,NA,No,16.0,TRUE,700.0,TRUE,1400.0,TRUE,NA,NA,0.0
114,Fl,Flerovium,"Georgy Flyorov, physicist",14,7,p,NA,Synthetic,NA,289.0,NA,No,14.0,TRUE,340.0,TRUE,420.0,TRUE,NA,NA,0.0
115,Mc,Moscovium,IUPAC systematic element name,15,7,p,NA,Synthetic,NA,289.0,NA,No,13.5,TRUE,700.0,TRUE,1400.0,TRUE,NA,NA,0.0
116,Lv,Livermorium,"Lawrence Livermore National Laboratory (in Livermore, California) which collaborated with JINR on its synthesis",16,7,p,NA,Synthetic,NA,293.0,NA,No,12.9,TRUE,709.0,TRUE,1085.0,TRUE,NA,NA,0.0
117,Ts,Tennessine,IUPAC systematic element name,17,7,p,NA,Synthetic,NA,294.0,NA,No,7.2,TRUE,723.0,TRUE,883.0,TRUE,NA,NA,0.0
118,Og,Ogannessine,IUPAC systematic element name,18,7,p,NA,Synthetic,NA,294.0,NA,No,5.0,TRUE,258.0,TRUE,263.0,TRUE,NA,NA,0.0
