,actual_hardness,predicted_hardness,y_std,load,formula
43,2.75,2.7967541,0.52368337,0.0,Cd3Gd
44,3.97,1.842587,0.4786267,0.0,Cd45Gd11
45,2.99,1.8189385,0.47039863,0.0,Cd6Gd
46,1.47,2.677434,0.8632232,0.0,CdGd
47,0.59,0.31393483,0.56848645,0.0,CdTe
48,6.1,7.363699,1.0605422,0.0,Ce0.5U0.5O2
49,6.045,7.3550153,0.53266734,0.0,Ce0.8Gd0.2O1.9
50,6.799,5.9851246,0.40896693,0.0,Ce0.8Nd0.2O1.9
51,9.0,8.636481,1.4572208,0.0,CeAlO3
52,30.79,21.591599,1.4284256,0.0,CeB6
53,18.65,21.591599,1.4284256,0.0,CeB6
54,0.98,3.7687192,1.0781349,0.0,CeC2
55,7.2,7.0691013,0.31183982,0.0,CeGaO3
56,6.8,6.467568,0.38043687,0.0,CeMn2Si2
57,2.0,4.6169486,0.33433485,0.0,CeRh3
58,5.5,5.868957,0.97405505,0.0,CeRh3B
59,0.96,1.4331601,0.51676416,0.0,Co0.7Pt0.3
60,11.28,12.603523,1.8615956,0.0,Co2B
61,11.28,10.60782,1.5826497,0.0,Co3B
62,11.28,18.789156,1.4417588,0.0,CoB
63,25.25,21.47274,1.4582644,0.0,CoB2
64,37.07,38.31499,1.5366428,0.0,CoB50
65,50.92855526,42.803776,2.4584644,0.0,Cr0.05W0.95B4
66,46.45652707,42.803776,2.4584644,0.0,Cr0.05W0.95B4
67,37.69876855,42.803776,2.4584644,0.0,Cr0.05W0.95B4
68,35.6180058,42.803776,2.4584644,0.0,Cr0.05W0.95B4
69,31.92237464,42.803776,2.4584644,0.0,Cr0.05W0.95B4
70,1.11,0.4286355,0.38052964,0.0,Cr0.2Pt0.8
72,42.12417551,38.037518,2.190185,0.0,Cr0.3W0.7B4
73,39.73289136,38.037518,2.190185,0.0,Cr0.3W0.7B4
74,34.2049445,38.037518,2.190185,0.0,Cr0.3W0.7B4
75,31.44100848,38.037518,2.190185,0.0,Cr0.3W0.7B4
76,27.34159474,38.037518,2.190185,0.0,Cr0.3W0.7B4
77,6.4,12.402943,1.1106206,0.0,Cr0.43Re0.43Co0.14
78,7.26,6.6401844,0.37707174,0.0,Cr0.4Fe0.4Co0.4Ni0.4Al0.4
79,44.50309343,31.605732,2.0953732,0.0,Cr0.5W0.5B4
80,38.81984845,31.605732,2.0953732,0.0,Cr0.5W0.5B4
81,34.53413684,31.605732,2.0953732,0.0,Cr0.5W0.5B4
82,32.88819384,31.605732,2.0953732,0.0,Cr0.5W0.5B4
83,27.20494886,31.605732,2.0953732,0.0,Cr0.5W0.5B4
84,21.96,13.205328,1.6865265,0.0,Cr0.67Mo2Ni0.33B2
85,8.38,7.7810946,0.7747406,0.0,Cr11Ge19
86,8.14,7.159541,0.77061504,0.0,Cr11Ge8
87,16.8,23.249853,1.712129,0.0,Cr2.4W0.6B4
88,21.5,23.154974,1.3520353,0.0,Cr2.55Mo0.45B4
89,22.2,20.559668,1.3801365,0.0,Cr2.58Ta0.42B4
90,21.8,20.474648,2.0466595,0.0,Cr2.67V0.33B4
91,21.6,21.699646,1.3946344,0.0,Cr2.79Nb0.21B4
92,22.1,19.779816,1.6008319,0.0,Cr2.91Ti0.09B4
93,5.96,3.7128396,1.6452496,0.0,Cr28.58Al112.28
95,13.24,15.904488,1.3200641,0.0,Cr2B
96,20.69,21.38849,2.0722077,0.0,Cr2B3
99,10.75,9.403987,0.7429844,0.0,Cr3C2
101,12.16,10.709963,0.34633997,0.0,Cr4B
103,14.91,15.078862,1.3485332,0.0,Cr5B3
105,3.03,6.203847,1.2876812,0.0,Cr7Al45
106,27.5,19.22041,1.7086805,0.0,CrB
107,23.0,19.22041,1.7086805,0.0,CrB
108,21.5,19.22041,1.7086805,0.0,CrB
110,26.1,34.53894,1.7476695,0.0,CrB4
111,40.31,36.190426,1.6892511,0.0,CrB50
112,6.24,8.222821,0.45070866,0.0,CrGe
113,1.25,0.2994242,0.042681355,0.0,Cu0.5Pt0.5
114,5.49,4.5513806,0.5083694,0.0,Cu10Zr7
115,6.12,4.7074375,0.30426243,0.0,Cu2.5LaNi2.5
116,6.32,5.5242777,0.44935235,0.0,Cu4Y0.1Yb0.9In
117,5.58,5.244379,0.47181997,0.0,Cu4YbIn
119,5.05,4.7067666,0.5505779,0.0,Cu51Zr14
120,4.41,5.040981,0.29971465,0.0,Cu5Gd
121,3.92,4.2587466,0.36272156,0.0,Cu5Nd
122,4.61,3.782448,0.6206935,0.0,Cu5Zr
123,4.81,4.315798,0.38596374,0.0,Cu6Gd
124,1.27,3.8953872,0.467178,0.0,CuEu2
125,4.24,4.847602,0.4951893,0.0,CuZr
126,4.41,4.973367,0.30181238,0.0,CuZr2
127,30.4,29.591736,1.1855373,0.0,DyB12
129,5.5,5.996841,0.3578765,0.0,DyMn2Si2
130,34.32,31.33197,1.2864779,0.0,ErB12
132,7.45,5.491519,0.6079446,0.0,ErPd2Ge
133,4.9,7.9684787,0.74798864,0.0,ErRh3B
134,11.1,10.556229,1.3401294,0.0,ErRh4B4
135,26.09,24.48612,1.2493416,0.0,EuB6
136,1.11,0.33378643,0.5108208,0.0,Fe0.5Pt0.5
137,0.84,2.6986754,0.23247015,0.0,Fe0.85Pt0.15
138,0.8,5.635894,0.8029351,0.0,Fe0.9Ru0.1
139,11.0,13.040791,1.6430743,0.0,GaN
140,9.45,7.4764676,0.8423676,0.0,GaP
141,22.74,22.068954,1.258019,0.0,Gd0.2Nd0.8B6
142,22.41,23.091818,1.1335042,0.0,Gd0.4Nd0.6B6
143,22.65,21.600399,1.2205912,0.0,Gd0.8Nd0.2B6
144,7.01,6.2128916,1.0903628,0.0,Gd2Co17
145,4.63,4.098841,0.6173376,0.0,GdC2
146,5.88,5.7746344,0.5155665,0.0,GdCo2
147,6.28,6.3599634,0.5602041,0.0,GdCo3
148,6.86,6.413342,0.5741698,0.0,GdCo5
149,6.8,6.7181373,0.3224817,0.0,GdMn2Si2
150,6.8,6.170077,0.8157458,0.0,GdRh3B
151,51.33958492,39.403427,1.9385114,0.0,Hf0.04W0.96B4
152,39.9514797,39.403427,1.9385114,0.0,Hf0.04W0.96B4
153,34.87300034,39.403427,1.9385114,0.0,Hf0.04W0.96B4
154,33.45718185,39.403427,1.9385114,0.0,Hf0.04W0.96B4
155,31.08725252,39.403427,1.9385114,0.0,Hf0.04W0.96B4
156,10.2,9.395369,0.67689955,0.0,Hf0.12V2.91Ge0.97
157,0.7,1.7001426,0.6188484,0.0,Hf0.1Pt0.9
158,42.28536669,36.19766,1.6441724,0.0,Hf0.1W0.9B4
159,37.3915316,36.19766,1.6441724,0.0,Hf0.1W0.9B4
160,33.17491021,36.19766,1.6441724,0.0,Hf0.1W0.9B4
161,31.3589137,36.19766,1.6441724,0.0,Hf0.1W0.9B4
162,29.01976303,36.19766,1.6441724,0.0,Hf0.1W0.9B4
163,3.826,7.9471326,1.9787247,0.0,Hf0.20Zr0.20Ti0.20Ta0.20Nb0.20
164,44.60681477,33.927692,1.9288043,0.0,Hf0.3W0.7B4
165,38.3895526,33.927692,1.9288043,0.0,Hf0.3W0.7B4
166,34.97312103,33.927692,1.9288043,0.0,Hf0.3W0.7B4
167,32.63388725,33.927692,1.9288043,0.0,Hf0.3W0.7B4
168,31.15653914,33.927692,1.9288043,0.0,Hf0.3W0.7B4
169,9.8,9.36778,0.78737515,0.0,Hf0.4V4.75Ge2.85
170,12.45,5.343813,0.46815884,0.0,Hf0.5Nb0.5Cr2
176,8.4,6.9251156,0.5971044,0.0,Hf2Ge
177,9.11,8.237912,0.65156084,0.0,Hf3Ge
178,5.7,7.4267893,0.778094,0.0,Hf3Ge2
179,6.9,7.6850934,0.94070154,0.0,Hf4.6V0.4Ge3
180,7.72,7.2018285,0.5754147,0.0,Hf5Ge3
181,28.44,28.668436,1.0237616,0.0,HfB2
182,15.0,12.977308,1.1390413,0.0,HfC
184,5.7,6.707824,0.5063558,0.0,HfGe
185,5.8,6.9834275,0.3759743,0.0,HfGe2
186,19.5,12.455572,1.3623215,0.0,HfN
187,8.83,17.50131,1.0015298,0.0,HfN0.75
188,11.4,19.784294,1.7940978,0.0,HfO2
189,7.2,10.271456,0.88084656,0.0,HfV16Ge31
190,12.4,7.789979,1.3547708,0.0,HfW2
191,9.9,7.789979,1.3547708,0.0,HfW2
193,28.44,32.486187,1.1048292,0.0,HoB12
194,5.61,5.5095224,0.5205377,0.0,HoC2
195,5.5,6.1008782,0.28815657,0.0,HoMn2Si2
196,3.89,4.383842,0.3789349,0.0,HoPd3
197,4.36,4.234097,0.039557718,0.0,InBi0.024Sb0.976
198,9.8,7.3298154,0.5201396,0.0,InN
199,1.09,1.3393571,0.999994,0.0,Ir0.5Pt0.5
200,37.9,22.496126,1.2150978,0.0,IrB1.35
201,29.0,22.496126,1.2150978,0.0,IrB1.35
202,22.2,22.496126,1.2150978,0.0,IrB1.35
203,21.3,22.496126,1.2150978,0.0,IrB1.35
204,49.8,22.496126,1.2150978,0.0,IrB1.35
205,18.2,22.496126,1.2150978,0.0,IrB1.35
206,7.378,6.2328453,0.4216442,0.0,La0.5Ce0.5O1.75
208,27.16,25.863491,1.9248577,0.0,LaB6
209,2.4,2.6658921,0.5099502,0.0,LaC2
210,7.3,5.675184,0.52516943,0.0,LaCo0.75Ni3.95Al0.3
211,4.78,5.776578,0.6162252,0.0,LaCo2.5Ni2.5
212,6.01,5.7424726,0.3456612,0.0,LaMnNi4
213,5.38,6.4770255,0.58627856,0.0,LaNi3.5Al1.5
214,4.2,6.4308424,0.65607953,0.0,LaRh3B
215,8.05,3.6494045,0.44690442,0.0,Lu2Fe14C
217,5.88,9.52283,0.7511871,0.0,LuC2
218,7.7,5.881751,0.7874912,0.0,LuRh3B
219,32.0,33.106495,2.5697882,0.0,Mg2B25C4
220,5.2,21.366917,1.9750887,0.0,MgB2
221,16.24,13.358335,1.3331343,0.0,MgCr0.2Al1.8O4
222,14.4,11.245865,1.9989346,0.0,MgLaAl11O19
223,53.68335825,41.394363,2.2255888,0.0,Mn0.04W0.96B4
224,44.24763328,41.394363,2.2255888,0.0,Mn0.04W0.96B4
225,36.43124066,41.394363,2.2255888,0.0,Mn0.04W0.96B4
226,34.2202292,41.394363,2.2255888,0.0,Mn0.04W0.96B4
227,31.69780767,41.394363,2.2255888,0.0,Mn0.04W0.96B4
228,1.13,2.4380243,0.53694165,0.0,Mn0.33Pt0.67
229,47.17488789,34.873894,1.9800668,0.0,Mn0.3W0.7B4
230,39.57648231,34.873894,1.9800668,0.0,Mn0.3W0.7B4
231,33.84653712,34.873894,1.9800668,0.0,Mn0.3W0.7B4
232,32.38290982,34.873894,1.9800668,0.0,Mn0.3W0.7B4
233,30.04733433,34.873894,1.9800668,0.0,Mn0.3W0.7B4
234,41.00896861,34.81391,2.1283796,0.0,Mn0.5W0.5B4
235,32.2894868,34.81391,2.1283796,0.0,Mn0.5W0.5B4
236,30.10961634,34.81391,2.1283796,0.0,Mn0.5W0.5B4
237,28.9573991,34.81391,2.1283796,0.0,Mn0.5W0.5B4
238,26.71524664,34.81391,2.1283796,0.0,Mn0.5W0.5B4
239,17.45,10.744125,0.8917118,0.0,Mn2B
240,8.3,8.8926115,0.8773969,0.0,Mn5Si3
242,12.4,26.268322,1.4143865,0.0,MnB2
243,41.29,38.801147,1.1872904,0.0,MnB50
244,11.2,8.576327,0.7865229,0.0,MnSi
250,43.66141732,37.903942,2.1453469,0.0,Mo0.1W0.9B4
251,38.11023622,37.903942,2.1453469,0.0,Mo0.1W0.9B4
252,34.17322835,37.903942,2.1453469,0.0,Mo0.1W0.9B4
253,31.92913386,37.903942,2.1453469,0.0,Mo0.1W0.9B4
254,29.60629921,37.903942,2.1453469,0.0,Mo0.1W0.9B4
255,1.06,5.2869306,1.0097322,0.0,Mo0.2Pt0.8
256,39.6,31.850048,1.9070095,0.0,Mo0.5W0.5B4
257,33.0,31.850048,1.9070095,0.0,Mo0.5W0.5B4
258,30.0,31.850048,1.9070095,0.0,Mo0.5W0.5B4
259,26.0,31.850048,1.9070095,0.0,Mo0.5W0.5B4
260,14.06,11.5730095,1.2813354,0.0,Mo0.65Os0.35
261,10.0,8.439455,1.0657799,0.0,Mo0.6Ru0.4
262,24.52,14.677968,1.1389642,0.0,Mo2B
263,13.53,7.1742406,0.42025885,0.0,Mo3.2Pt0.8
264,20.3,14.384776,1.4368689,0.0,Mo3Fe3N
265,20.5,19.026073,1.3385768,0.0,Mo3Ni2N
266,12.07,14.27752,1.9844313,0.0,Mo3Os
268,19.4,14.619907,2.1810815,0.0,Mo3Pt2N
269,23.78,24.322344,1.9402963,0.0,MoB
270,23.04,25.77413,1.7376943,0.0,MoB2
271,4.8,8.473229,0.79290295,0.0,MoFe2
272,12.75,2.8354468,0.528251,0.0,MoPt
273,0.53,7.10002,1.1244024,0.0,Nb
274,5.673,13.037181,1.1033822,0.0,Nb0.07Fe0.81B0.12
275,1.16,2.7335968,0.838968,0.0,Nb0.07Pt0.93
277,4.41,4.6520944,1.0330232,0.0,Nb0.95Al0.05
278,3.7265,8.081201,0.5168831,0.0,Nb2Al
279,10.46,14.70138,1.6575217,0.0,Nb3B2
280,5.08,14.70138,1.6575217,0.0,Nb3B2
281,9.81,5.9233923,0.860322,0.0,Nb3Ga
282,9.11,8.804053,0.5159277,0.0,Nb3Ge
283,7.12,7.2609897,0.89150774,0.0,Nb3Si
284,6.8,6.432111,0.9366264,0.0,Nb3Sn
285,9.1,7.831521,0.91258883,0.0,Nb3Sn0.5Ge0.5
286,10.42,6.7355967,0.96873844,0.0,Nb5Ga3
287,9.65,9.502906,0.90266114,0.0,Nb5GaSn2
288,10.42,9.373141,0.49137947,0.0,Nb5Ge3
289,21.53,20.235554,0.8988945,0.0,NbB
290,16.58,20.235554,0.8988945,0.0,NbB
291,2.704,3.2321246,0.46373764,0.0,NbCr2
292,7.8,10.479036,0.80563134,0.0,NbGe2
293,20.0,16.9225,2.0905488,0.0,NbN
294,24.91,22.69753,1.2711067,0.0,NdB6
295,2.35,3.2640305,0.15715025,0.0,NdC2
297,6.3,5.56583,0.4297686,0.0,NdMn2Si2
298,4.61,5.8891034,0.40390867,0.0,NdPd2Ge
300,5.49,5.7836504,0.6005431,0.0,NdRuCo
302,5.07,5.718345,0.8612873,0.0,Ni0.05Ga0.95Sb
303,14.02,11.410016,1.0866469,0.0,Ni2B
304,11.67,11.291786,0.73166096,0.0,Ni3B
305,39.13,38.75165,1.0337785,0.0,NiB50
306,23.5,18.901646,2.349651,0.0,Os0.3Ru0.7B2
307,15.0,18.901646,2.349651,0.0,Os0.3Ru0.7B2
308,22.0,20.421251,1.5405912,0.0,Os0.5Ru0.5B2
309,15.5,20.421251,1.5405912,0.0,Os0.5Ru0.5B2
310,23.0,22.266874,2.0810287,0.0,Os0.8Ru0.2B2
311,16.5,22.266874,2.0810287,0.0,Os0.8Ru0.2B2
312,19.61,14.272975,2.461906,0.0,Os2Si3
313,14.22,17.478512,1.7849387,0.0,OsSi
315,2.54,1.6621205,0.752472,0.0,Pd3.5Te
316,2.7,2.122077,0.5568964,0.0,Pd3Te2
317,1.73,3.0085623,0.4716386,0.0,Pd9Te4
318,1.86,3.835953,1e-04,0.0,Pr0.03Nd0.65Fe3NiSb12
319,24.22,24.515781,1.7755562,0.0,PrB6
320,1.37,3.6645534,0.3122906,0.0,PrC2
321,6.5,5.8219123,0.40354082,0.0,PrMn2Si2
322,0.74,2.373261,0.56229377,0.0,Pt0.5Pd0.5
323,1.4,0.98411536,0.36310706,0.0,Pt0.915Sn0.085
324,0.59,1.4181943,0.59227824,0.0,Pt0.91Al0.09
325,1.21,3.5451612,0.86347014,0.0,Pt0.96Ge0.04
326,0.85,2.5902662,1.3065814,0.0,Re0.25Pt0.75
327,48.17,27.228304,1.8976011,0.0,Re0.6W0.4B2
328,38.03,27.228304,1.8976011,0.0,Re0.6W0.4B2
329,34.76,27.228304,1.8976011,0.0,Re0.6W0.4B2
330,32.52,27.228304,1.8976011,0.0,Re0.6W0.4B2
331,30.31,27.228304,1.8976011,0.0,Re0.6W0.4B2
332,10.79,12.182039,1.3492599,0.0,Re0.9Si0.1
333,12.75,14.955262,1.8511463,0.0,Re2Si
334,16.57,14.289283,2.5421193,0.0,Re3B
335,16.18,18.22204,2.016826,0.0,Re7B3
336,40.45,23.920975,2.2789454,0.0,ReB2
337,35.08,23.920975,2.2789454,0.0,ReB2
338,31.73,23.920975,2.2789454,0.0,ReB2
339,30.3,23.920975,2.2789454,0.0,ReB2
340,29.31,23.920975,2.2789454,0.0,ReB2
342,22.56,15.546144,1.8726398,0.0,ReSi2
343,0.71,-1.0415448,0.43634328,0.0,Rh0.5Pt0.5
344,11.08,8.943343,0.9003194,0.0,Rh20Si13
345,2.06,10.5318,0.5310484,0.0,Rh2Si
346,9.22,8.880339,0.8853551,0.0,Rh3Si2
347,10.2,13.186773,1.2397196,0.0,Rh3Si4
348,11.38,10.64477,1.4383552,0.0,Rh4Si5
349,10.79,8.620789,0.8249643,0.0,Rh5Si3
350,7.62,14.329396,0.9878397,0.0,Rh7B3
351,11.89,19.44304,1.6166334,0.0,RhB1.1
352,11.03,10.027838,0.6063079,0.0,RhSi
353,2.765,7.044935,0.8065017,0.0,Ru0.5Ir0.5Al
354,1.68,4.02115,1.0985582,0.0,Ru0.5Pt0.5
355,4.81,4.6217904,1.2006042,0.0,Ru0.5Rh0.5
356,10.79,9.013653,0.3204877,0.0,Ru2Ge3
357,15.2,14.7746935,1.3468184,0.0,Ru2Si3
358,24.2,19.125458,1.5621964,0.0,RuB2
359,20.6,19.125458,1.5621964,0.0,RuB2
360,16.74,19.125458,1.5621964,0.0,RuB2
361,14.4,19.125458,1.5621964,0.0,RuB2
362,1.18,2.5887692,0.43480605,0.0,Sc0.021Pt0.979
363,41.5078742,34.501797,1.4708192,0.0,Sc0.05Y0.95B12
364,35.03897864,34.501797,1.4708192,0.0,Sc0.05Y0.95B12
365,32.31957769,34.501797,1.4708192,0.0,Sc0.05Y0.95B12
366,30.09461328,34.501797,1.4708192,0.0,Sc0.05Y0.95B12
367,28.85852194,34.501797,1.4708192,0.0,Sc0.05Y0.95B12
368,41.513473,34.818684,1.7705193,0.0,Sc0.05Zr0.95B12
369,35.91240375,34.818684,1.7705193,0.0,Sc0.05Zr0.95B12
370,33.54446204,34.818684,1.7705193,0.0,Sc0.05Zr0.95B12
371,31.24480269,34.818684,1.7705193,0.0,Sc0.05Zr0.95B12
372,28.85409231,34.818684,1.7705193,0.0,Sc0.05Zr0.95B12
373,42.66650803,35.186413,1.5940063,0.0,Sc0.25Y0.75B12
374,35.84738659,35.186413,1.5940063,0.0,Sc0.25Y0.75B12
375,33.56061761,35.186413,1.5940063,0.0,Sc0.25Y0.75B12
376,30.9648258,35.186413,1.5940063,0.0,Sc0.25Y0.75B12
377,29.97595272,35.186413,1.5940063,0.0,Sc0.25Y0.75B12
378,43.69269246,36.968563,2.0213103,0.0,Sc0.25Zr0.75B12
379,36.88488368,36.968563,2.0213103,0.0,Sc0.25Zr0.75B12
380,34.26651024,36.968563,2.0213103,0.0,Sc0.25Zr0.75B12
381,32.14900026,36.968563,2.0213103,0.0,Sc0.25Zr0.75B12
382,30.44134999,36.968563,2.0213103,0.0,Sc0.25Zr0.75B12
383,45.14486766,36.159554,1.7606453,0.0,Sc0.5Y0.5B12
384,37.52230439,36.159554,1.7606453,0.0,Sc0.5Y0.5B12
385,35.79175897,36.159554,1.7606453,0.0,Sc0.5Y0.5B12
386,32.8251573,36.159554,1.7606453,0.0,Sc0.5Y0.5B12
387,31.19763704,36.159554,1.7606453,0.0,Sc0.5Y0.5B12
388,47.96499819,35.768433,1.8526057,0.0,Sc0.5Zr0.5B12
389,39.63166486,35.768433,1.8526057,0.0,Sc0.5Zr0.5B12
390,37.17264847,35.768433,1.8526057,0.0,Sc0.5Zr0.5B12
391,34.07613295,35.768433,1.8526057,0.0,Sc0.5Zr0.5B12
392,32.04972129,35.768433,1.8526057,0.0,Sc0.5Zr0.5B12
393,44.36941513,34.777706,1.8006485,0.0,Sc0.8Y0.2B12
394,36.06700163,34.777706,1.8006485,0.0,Sc0.8Y0.2B12
395,35.03692551,34.777706,1.8006485,0.0,Sc0.8Y0.2B12
396,32.00851927,34.777706,1.8006485,0.0,Sc0.8Y0.2B12
397,30.54579364,34.777706,1.8006485,0.0,Sc0.8Y0.2B12
398,45.95154316,35.361073,1.8361733,0.0,Sc0.8Zr0.2B12
399,38.43785832,35.361073,1.8361733,0.0,Sc0.8Zr0.2B12
400,36.32037198,35.361073,1.8361733,0.0,Sc0.8Zr0.2B12
401,33.47428819,35.361073,1.8361733,0.0,Sc0.8Zr0.2B12
402,31.31126451,35.361073,1.8361733,0.0,Sc0.8Zr0.2B12
403,5.83,11.274664,2.5110297,0.0,Sc2C3
404,34.7401001,26.703457,1.9989203,0.0,Sc2ReB6
405,31.83707398,26.703457,1.9989203,0.0,Sc2ReB6
406,24.10401302,26.703457,1.9989203,0.0,Sc2ReB6
407,22.70255213,26.703457,1.9989203,0.0,Sc2ReB6
408,20.92569993,26.703457,1.9989203,0.0,Sc2ReB6
409,9.0,12.368698,1.1446702,0.0,Sc3Al3C2O5
410,7.6,3.7125962,0.44012603,0.0,Sc5Si3
411,41.67556428,34.974075,1.7444372,0.0,ScB12
412,35.18608474,34.974075,1.7444372,0.0,ScB12
413,33.94997585,34.974075,1.7444372,0.0,ScB12
414,30.32412547,34.974075,1.7444372,0.0,ScB12
415,28.44938694,34.974075,1.7444372,0.0,ScB12
417,4.6,10.037252,1.2505662,0.0,ScNi3B
418,9.75,6.7291155,0.8480354,0.0,ScRh3B
419,7.4,9.231871,0.6214434,0.0,ScRh3B0.5C0.5
420,9.9,6.973738,1.0225964,0.0,ScRh3C
421,5.88,4.1757426,0.66730165,0.0,ScRu2
422,4.2,6.6640654,0.6314759,0.0,ScSi
423,8.2,6.561747,1.530347,0.0,ScSi1.67
424,11.27,14.200075,1.7708328,0.0,Si
425,19.0,29.656368,2.7136228,0.0,Si2N2O
427,22.9,27.973978,2.1691856,0.0,SiC
429,4.71,4.2093415,0.21706808,0.0,Sm2O3
430,24.52,23.609161,1.7789743,0.0,SmB6
431,6.37,4.0297723,1.4498411,0.0,SmC2
432,6.5,7.0458636,0.4918766,0.0,SmMn2Si2
433,5.51,5.219185,0.6319529,0.0,SmPd2Ge
434,2.8,9.146629,1.5955386,0.0,Sr2Cu2GdRuO8
435,28.54,22.814438,2.2695074,0.0,SrB6
436,3.85,8.0015545,0.8693043,0.0,SrVO3
437,35.0,33.289314,2.424876,0.0,Ta0.01W0.99B
438,29.0,33.289314,2.424876,0.0,Ta0.01W0.99B
439,18.5,33.289314,2.424876,0.0,Ta0.01W0.99B
440,52.02308473,37.652058,2.3021688,0.0,Ta0.03W0.97B4
441,44.69812278,37.652058,2.3021688,0.0,Ta0.03W0.97B4
442,37.94393709,37.652058,2.3021688,0.0,Ta0.03W0.97B4
443,34.26560122,37.652058,2.3021688,0.0,Ta0.03W0.97B4
444,31.82394723,37.652058,2.3021688,0.0,Ta0.03W0.97B4
445,48.28132927,39.545174,2.3820953,0.0,Ta0.04W0.96B4
446,41.24175545,39.545174,2.3820953,0.0,Ta0.04W0.96B4
447,36.39015728,39.545174,2.3820953,0.0,Ta0.04W0.96B4
448,33.50456621,39.545174,2.3820953,0.0,Ta0.04W0.96B4
449,31.22146119,39.545174,2.3820953,0.0,Ta0.04W0.96B4
450,1.02,1.9304428,0.3999779,0.0,Ta0.09Pt0.91
451,36.5,27.416409,2.245085,0.0,Ta0.1W0.9B
452,30.5,27.416409,2.245085,0.0,Ta0.1W0.9B
453,20.0,27.416409,2.245085,0.0,Ta0.1W0.9B
454,44.12734652,37.812008,2.0746338,0.0,Ta0.1W0.9B4
455,39.90994419,37.812008,2.0746338,0.0,Ta0.1W0.9B4
456,35.40715373,37.812008,2.0746338,0.0,Ta0.1W0.9B4
457,33.02891933,37.812008,2.0746338,0.0,Ta0.1W0.9B4
458,30.90436327,37.812008,2.0746338,0.0,Ta0.1W0.9B4
459,38.0,28.544868,2.4449213,0.0,Ta0.25W0.75B
460,28.5,28.544868,2.4449213,0.0,Ta0.25W0.75B
461,21.0,28.544868,2.4449213,0.0,Ta0.25W0.75B
462,42.6369863,34.16027,1.5999794,0.0,Ta0.3W0.7B4
463,36.92922374,34.16027,1.5999794,0.0,Ta0.3W0.7B4
464,32.96549975,34.16027,1.5999794,0.0,Ta0.3W0.7B4
465,30.87265348,34.16027,1.5999794,0.0,Ta0.3W0.7B4
466,29.38229325,34.16027,1.5999794,0.0,Ta0.3W0.7B4
468,40.86123795,34.336395,1.6830328,0.0,Ta0.5W0.5B4
469,33.78995434,34.336395,1.6830328,0.0,Ta0.5W0.5B4
470,31.91907661,34.336395,1.6830328,0.0,Ta0.5W0.5B4
471,31.09462202,34.336395,1.6830328,0.0,Ta0.5W0.5B4
472,30.30187722,34.336395,1.6830328,0.0,Ta0.5W0.5B4
473,27.16,17.750885,2.8557253,0.0,Ta3B2
474,32.85,30.8929,1.3859204,0.0,Ta3B4
476,24.52,30.189974,1.3522805,0.0,TaB2
477,23.58,19.197224,2.6904728,0.0,TaC
478,2.98,6.587897,1.6356913,0.0,TaCr2
479,22.0,22.450281,2.6206527,0.0,TaN
480,22.56,23.660067,1.1485621,0.0,TbB6
481,5.5,5.9848256,0.34957382,0.0,TbMn2Si2
482,7.45,4.912573,0.70244205,0.0,TbPd2Ge
483,17.06,21.967716,1.6966752,0.0,ThB6
484,22.65,33.630016,1.7594994,0.0,ThB66
